ref_id,url,description,method_count
1,https://github.com/YunaiV/ruoyi-vue-pro/commit/9bba1ce8a4fb5c6f73cd92c9981039152a626bd6,Extract And Move Method public selectOne() : CrmCustomerPoolConfigDO extracted from public getCustomerPoolConfig() : CrmCustomerPoolConfigDO in class cn.iocoder.yudao.module.crm.service.customer.CrmCustomerPoolConfigServiceImpl & moved to class cn.iocoder.yudao.module.crm.dal.mysql.customer.CrmCustomerPoolConfigMapper,2
2,https://github.com/YunaiV/ruoyi-vue-pro/commit/8b3bfcbd6b42530107b6f58d76f466ba521f11ca,"Extract And Move Method public selectByUserIdAndSpuId(userId Long, spuId Long) : ProductBrowseHistoryDO extracted from public createBrowseHistory(userId Long, spuId Long) : void in class cn.iocoder.yudao.module.product.service.history.ProductBrowseHistoryServiceImpl & moved to class cn.iocoder.yudao.module.product.dal.mysql.history.ProductBrowseHistoryMapper",4
3,https://github.com/YunaiV/ruoyi-vue-pro/commit/f361d05940e3e5ac91004fd5e51cad5e34749858,"Extract And Move Method public selectByIdAndName(id Long, name String) : CrmBusinessStatusTypeDO extracted from private validateBusinessStatusTypeExists(name String, id Long) : void in class cn.iocoder.yudao.module.crm.service.business.CrmBusinessStatusTypeServiceImpl & moved to class cn.iocoder.yudao.module.crm.dal.mysql.business.CrmBusinessStatusTypeMapper",9
4,https://github.com/YunaiV/ruoyi-vue-pro/commit/6850c7c71d236f73a99658a0af04b98e9bdb2e6b,"Extract And Move Method public hasPermission(bizType Integer, bizId Long, userId Long, levelEnum CrmPermissionLevelEnum) : boolean extracted from public deleteFollowUpRecord(id Long, userId Long) : void in class cn.iocoder.yudao.module.crm.service.followup.CrmFollowUpRecordServiceImpl & moved to class cn.iocoder.yudao.module.crm.framework.permission.core.util.CrmPermissionUtils",8
5,https://github.com/YunaiV/ruoyi-vue-pro/commit/e01dda9bafb906123fb4fdc9c951e5da5c40a53b,Extract And Move Method public selectCountByCategoryId(categoryId Long) : Long extracted from public getProductByCategoryId(categoryId Long) : CrmProductDO in class cn.iocoder.yudao.module.crm.service.product.CrmProductServiceImpl & moved to class cn.iocoder.yudao.module.crm.dal.mysql.product.CrmProductMapper,11
6,https://github.com/YunaiV/ruoyi-vue-pro/commit/be2431b73b48bbf040d86039106a3af536a3e805,"Extract And Move Method public convertBpmResultToAuditStatus(bpmResult Integer) : Integer extracted from public updateContractAuditStatus(id Long, bpmResult Integer) : void in class cn.iocoder.yudao.module.crm.service.contract.CrmContractServiceImpl & moved to class cn.iocoder.yudao.module.crm.util.CrmAuditStatusUtils",22
7,https://github.com/YunaiV/ruoyi-vue-pro/commit/29f1eb2c184bf7485734d8f869a236bab337fe25,"Extract And Move Method public getBusinessMap(ids Collection<Long>) : Map<Long,CrmBusinessDO> extracted from private buildContractDetailList(contractList List<CrmContractDO>) : List<CrmContractRespVO> in class cn.iocoder.yudao.module.crm.controller.admin.contract.CrmContractController & moved to class cn.iocoder.yudao.module.crm.service.business.CrmBusinessService",13
8,https://github.com/YunaiV/ruoyi-vue-pro/commit/29f1eb2c184bf7485734d8f869a236bab337fe25,"Extract And Move Method public getBusinessMap(ids Collection<Long>) : Map<Long,CrmBusinessDO> extracted from public getFollowUpRecordPage(pageReqVO CrmFollowUpRecordPageReqVO) : CommonResult<PageResult<CrmFollowUpRecordRespVO>> in class cn.iocoder.yudao.module.crm.controller.admin.followup.CrmFollowUpRecordController & moved to class cn.iocoder.yudao.module.crm.service.business.CrmBusinessService",4
9,https://github.com/YunaiV/ruoyi-vue-pro/commit/cdbcd4d673d491ad5203b8cdb05b00919deda6c9,Extract And Move Method public parseInt(str String) : Integer extracted from package getTaskRule(execution DelegateExecution) : BpmTaskAssignRuleDO in class cn.iocoder.yudao.module.bpm.service.definition.BpmTaskAssignRuleServiceImpl & moved to class cn.iocoder.yudao.framework.common.util.number.NumberUtils,21
10,https://github.com/YunaiV/ruoyi-vue-pro/commit/29a0fbfc4339b942d4236ec25eb1ac52c1e216ed,"Extract And Move Method public getTaskStatus(task TaskInfo) : Integer extracted from public buildDoneTaskPage(pageResult PageResult<HistoricTaskInstance>, processInstanceMap Map<String,HistoricProcessInstance>, userMap Map<Long,AdminUserRespDTO>) : PageResult<BpmTaskRespVO> in class cn.iocoder.yudao.module.bpm.convert.task.BpmTaskConvert & moved to class cn.iocoder.yudao.framework.flowable.core.util.FlowableUtils",6
11,https://github.com/YunaiV/ruoyi-vue-pro/commit/29a0fbfc4339b942d4236ec25eb1ac52c1e216ed,"Extract And Move Method public getTaskStatus(task TaskInfo) : Integer extracted from public buildTaskListByProcessInstanceId(taskList List<HistoricTaskInstance>, processInstance HistoricProcessInstance, userMap Map<Long,AdminUserRespDTO>, deptMap Map<Long,DeptRespDTO>) : List<BpmTaskRespVO> in class cn.iocoder.yudao.module.bpm.convert.task.BpmTaskConvert & moved to class cn.iocoder.yudao.framework.flowable.core.util.FlowableUtils",6
12,https://github.com/YunaiV/ruoyi-vue-pro/commit/29a0fbfc4339b942d4236ec25eb1ac52c1e216ed,"Extract And Move Method public getTaskReason(task TaskInfo) : String extracted from public buildDoneTaskPage(pageResult PageResult<HistoricTaskInstance>, processInstanceMap Map<String,HistoricProcessInstance>, userMap Map<Long,AdminUserRespDTO>) : PageResult<BpmTaskRespVO> in class cn.iocoder.yudao.module.bpm.convert.task.BpmTaskConvert & moved to class cn.iocoder.yudao.framework.flowable.core.util.FlowableUtils",6
13,https://github.com/YunaiV/ruoyi-vue-pro/commit/29a0fbfc4339b942d4236ec25eb1ac52c1e216ed,"Extract And Move Method public getTaskReason(task TaskInfo) : String extracted from public buildTaskListByProcessInstanceId(taskList List<HistoricTaskInstance>, processInstance HistoricProcessInstance, userMap Map<Long,AdminUserRespDTO>, deptMap Map<Long,DeptRespDTO>) : List<BpmTaskRespVO> in class cn.iocoder.yudao.module.bpm.convert.task.BpmTaskConvert & moved to class cn.iocoder.yudao.framework.flowable.core.util.FlowableUtils",6
14,https://github.com/YunaiV/ruoyi-vue-pro/commit/424210066ff3ce6f5a37d4d6da939d31cdd3eb52,Extract And Move Method public validateAvailable(chatModal AiChatModalRes) : void extracted from public updateConversation(updateReqVO AiChatConversationUpdateReqVO) : Boolean in class cn.iocoder.yudao.module.ai.service.impl.AiChatConversationServiceImpl & moved to class cn.iocoder.yudao.module.ai.service.impl.AiChatModalServiceImpl,7
15,https://github.com/YunaiV/ruoyi-vue-pro/commit/7c1e949d77315754d0c0377e7bea8df1764a8e1a,"Extract And Move Method public selectByStatusAndPlatform(statusEnum AiImageStatusEnum, platformEnum AiPlatformEnum) : List<AiImageDO> extracted from public execute(param String) : String in class cn.iocoder.yudao.module.ai.job.MidjourneyJob & moved to class cn.iocoder.yudao.module.ai.dal.mysql.image.AiImageMapper",1
16,https://github.com/YunaiV/ruoyi-vue-pro/commit/285a431616e8cfcf55f6f473cf0ef918c9799bc3,Extract And Move Method public updateConversationLastMessage(kefuMessage KeFuMessageDO) : void extracted from public sendKefuMessage(sendReqVO KeFuMessageSendReqVO) : Long in class cn.iocoder.yudao.module.promotion.service.kefu.KeFuMessageServiceImpl & moved to class cn.iocoder.yudao.module.promotion.service.kefu.KeFuConversationServiceImpl,6
17,https://github.com/YunaiV/ruoyi-vue-pro/commit/4ce2be724e91bf9838baa1cc9562f698bf8e2aa9,Extract And Move Method public selectByUserId(userId Long) : KeFuConversationDO extracted from public getConversationByUserId(userId Long) : KeFuConversationDO in class cn.iocoder.yudao.module.promotion.service.kefu.KeFuConversationServiceImpl & moved to class cn.iocoder.yudao.module.promotion.dal.mysql.kefu.KeFuConversationMapper,9
18,https://github.com/YunaiV/ruoyi-vue-pro/commit/6e71b721e85a5e31f0522733a9f32621a83e3be1,Extract And Move Method public validateType(type Integer) : void extracted from private buildWritingPrompt(generateReqVO AiWriteGenerateReqVO) : String in class cn.iocoder.yudao.module.ai.service.write.AiWriteServiceImpl & moved to class cn.iocoder.yudao.module.ai.enums.write.AiWriteTypeEnum,2
19,https://github.com/YunaiV/ruoyi-vue-pro/commit/401de3034479bf8787b22fc4e9f6c6b7f9f03c73,"Extract And Move Method public getSpuMap(ids Collection<Long>) : Map<Long,ProductSpuDO> extracted from public getBrowseHistoryPage(pageReqVO ProductBrowseHistoryPageReqVO) : CommonResult<PageResult<ProductBrowseHistoryRespVO>> in class cn.iocoder.yudao.module.product.controller.admin.history.ProductBrowseHistoryController & moved to class cn.iocoder.yudao.module.product.service.spu.ProductSpuService",1
20,https://github.com/YunaiV/ruoyi-vue-pro/commit/22686bafa29a9628ef4dbe54c7d1acd11055a714,"Extract And Move Method public post(url String, headers Map<String,String>, requestBody String) : String extracted from private request(apiName String, queryParams TreeMap<String,Object>) : JSONObject in class cn.iocoder.yudao.module.system.framework.sms.core.client.impl.AliyunSmsClient & moved to class cn.iocoder.yudao.framework.common.util.http.HttpUtils",7
21,https://github.com/apache/flink/commit/6f0d07633a5c8e6511f3d16e04561cb277b65407,Extract And Move Method public getWindowSize() : Optional<Duration> extracted from private createEndingState() : State<T> in class org.apache.flink.cep.nfa.compiler.NFACompiler.NFAFactoryCompiler & moved to class org.apache.flink.cep.pattern.Quantifier.Times,42
