Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.kafka.clients.consumer.internals.ConsumerCoordinatorTest::teardown():void	org.apache.kafka.common.utils.MockTime	0.9479166666666667
Move Method	org.apache.kafka.common.telemetry.internals.KafkaMetricsCollector.StateLedger::delta(MetricKey, Instant, Double):InstantAndValue<Double>	org.apache.kafka.common.telemetry.internals.LastValueTracker	1.0
Move Method	org.apache.kafka.common.requests.ApiErrorTest::fromThrowableShouldReturnCorrectError(Throwable, Errors, String):void	org.apache.kafka.common.protocol.Errors	0.5845986984815618
Move Method	org.apache.kafka.common.security.oauthbearer.internals.secured.RefreshingHttpsJwksTest::mockExecutorService(MockTime):ScheduledExecutorService	org.apache.kafka.common.utils.MockTime	1.0
Move Method	org.apache.kafka.common.record.MemoryRecords::filterTo(TopicPartition, RecordFilter, ByteBuffer, int, BufferSupplier):FilterResult	org.apache.kafka.common.TopicPartition	0.6249999999999999
Move Method	org.apache.kafka.clients.consumer.KafkaShareConsumerMetricsTest::createMetadata(SubscriptionState):ConsumerMetadata	org.apache.kafka.clients.consumer.internals.SubscriptionState	0.42475540056185235
Move Method	org.apache.kafka.common.network.Tls12SelectorTest::testRenegotiationFails():void	org.apache.kafka.common.network.EchoServer	0.24363830613830614
Move Method	org.apache.kafka.clients.consumer.internals.AsyncKafkaConsumer::processBackgroundEvents():boolean	org.apache.kafka.clients.consumer.internals.events.CompletableEventReaper	0.5739795918367347
Move Method	org.apache.kafka.common.network.Tls13SelectorTest::testKeyUpdate():void	org.apache.kafka.common.network.EchoServer	0.24363830613830614
Move Method	org.apache.kafka.clients.consumer.internals.FetcherTest::fetchRequestMatcher(short, TopicIdPartition, long, Optional<Integer>):MockClient.RequestMatcher	org.apache.kafka.common.TopicIdPartition	0.7195767195767194
Move Method	org.apache.kafka.clients.admin.Admin::describeTopics(Collection<String>, DescribeTopicsOptions):DescribeTopicsResult	org.apache.kafka.clients.admin.DescribeTopicsOptions	1.0
Move Method	org.apache.kafka.common.security.oauthbearer.OAuthBearerValidatorCallbackHandler::handleValidatorCallback(OAuthBearerValidatorCallback):void	org.apache.kafka.common.security.oauthbearer.internals.secured.AccessTokenValidator	1.0
Move Method	org.apache.kafka.clients.consumer.internals.FetchMetricsManager::maybeUpdateAssignment(SubscriptionState):void	org.apache.kafka.common.metrics.Metrics	0.7785230642373502
Move Method	org.apache.kafka.clients.admin.internals.AdminFetchMetricsManagerTest::mockSleepTimeWindow():void	org.apache.kafka.common.metrics.Metrics	0.9963519787751489
Move Method	org.apache.kafka.common.network.Selector.SelectorMetrics::maybeRegisterConnectionMetrics(String):void	org.apache.kafka.common.metrics.Metrics	0.3880517762660621
Move Method	org.apache.kafka.clients.producer.internals.RecordAccumulator::abortBatches(RuntimeException):void	org.apache.kafka.clients.producer.internals.IncompleteBatches	1.0
Move Method	org.apache.kafka.clients.producer.internals.RecordAccumulator::awaitFlushCompletion():void	org.apache.kafka.clients.producer.internals.IncompleteBatches	0.8866666666666667
Move Method	org.apache.kafka.clients.admin.Admin::describeClientQuotas(ClientQuotaFilter):DescribeClientQuotasResult	org.apache.kafka.common.quota.ClientQuotaFilter	1.0
Move Method	org.apache.kafka.clients.admin.internals.ListConsumerGroupOffsetsHandler::handleGroupError(CoordinatorKey, Errors, Map<CoordinatorKey,Throwable>, List<CoordinatorKey>):void	org.apache.kafka.common.protocol.Errors	0.9702380952380951
Move Method	org.apache.kafka.common.metrics.MetricsTest::measure(Measurable, MetricConfig):Double	org.apache.kafka.common.metrics.MetricConfig	0.7728085867620753
Move Method	org.apache.kafka.clients.admin.Admin::describeAcls(AclBindingFilter):DescribeAclsResult	org.apache.kafka.common.acl.AclBindingFilter	0.7171428571428572
Move Method	org.apache.kafka.common.metrics.MetricsTest::record(Rate, MetricConfig, int):void	org.apache.kafka.common.metrics.MetricConfig	0.8837970540098201
Move Method	org.apache.kafka.common.network.SelectorTest::findUntaggedMetricByName(String):KafkaMetric	org.apache.kafka.common.metrics.Metrics	0.5573192239858907
Move Method	org.apache.kafka.clients.admin.ListOffsetsResult::partitionResult(TopicPartition):KafkaFuture<ListOffsetsResultInfo>	org.apache.kafka.common.TopicPartition	0.5952380952380953
Move Method	org.apache.kafka.clients.consumer.internals.AsyncKafkaConsumerTest::captureGroupMetadataUpdateListener(MockedStatic<RequestManagers>):MemberStateListener	org.apache.kafka.clients.consumer.internals.events.ApplicationEventHandler	0.07142857142857142
Move Method	org.apache.kafka.clients.consumer.KafkaConsumerTest::newConsumer(Properties, Deserializer<K>, Deserializer<V>):KafkaConsumer<K,V>	org.apache.kafka.clients.consumer.KafkaConsumer	0.5815442561205272
Move Method	org.apache.kafka.common.metrics.stats.Rate::windowSize(MetricConfig, long):long	org.apache.kafka.common.metrics.stats.SampledStat	0.5
Move Method	org.apache.kafka.clients.admin.Admin::removeRaftVoter(int, Uuid):RemoveRaftVoterResult	org.apache.kafka.common.Uuid	0.958974358974359
Move Method	org.apache.kafka.clients.producer.internals.TransactionManagerTest::setup():void	org.apache.kafka.common.utils.MockTime	0.7135714285714285
Move Method	org.apache.kafka.clients.admin.KafkaAdminClient::configureDefaultApiTimeoutMs(AdminClientConfig):int	org.apache.kafka.clients.admin.AdminClientConfig	0.5429347826086957
Move Method	org.apache.kafka.clients.admin.MockAdminClient::handleDeleteTopicsUsingIds(Collection<Uuid>, DeleteTopicsOptions):Map<Uuid,KafkaFuture<Void>>	org.apache.kafka.clients.admin.DeleteTopicsOptions	1.0
Move Method	org.apache.kafka.common.security.oauthbearer.OAuthBearerLoginModuleTest.TestCallbackHandler::handleCallback(OAuthBearerTokenCallback):void	org.apache.kafka.common.security.oauthbearer.OAuthBearerTokenCallback	1.0
Move Method	org.apache.kafka.clients.admin.MockAdminClient::handleDescribeTopicsByNames(Collection<String>, DescribeTopicsOptions):Map<String,KafkaFuture<TopicDescription>>	org.apache.kafka.clients.admin.DescribeTopicsOptions	1.0
Move Method	org.apache.kafka.clients.consumer.internals.AbstractMembershipManager::markPendingRevocationToPauseFetching(Set<TopicPartition>):void	org.apache.kafka.clients.consumer.internals.SubscriptionState	0.650498712998713
Move Method	org.apache.kafka.clients.admin.Admin::listConsumerGroupOffsets(String, ListConsumerGroupOffsetsOptions):ListConsumerGroupOffsetsResult	org.apache.kafka.clients.admin.ListConsumerGroupOffsetsOptions	0.9895833333333334
Move Method	org.apache.kafka.common.security.oauthbearer.OAuthBearerValidatorCallbackHandlerTest::createHandler(Map<String,?>, AccessTokenBuilder):OAuthBearerValidatorCallbackHandler	org.apache.kafka.common.security.oauthbearer.internals.secured.AccessTokenBuilder	0.5172932330827068
Move Method	org.apache.kafka.clients.admin.Admin::abortTransaction(AbortTransactionSpec):AbortTransactionResult	org.apache.kafka.clients.admin.AbortTransactionSpec	1.0
Move Method	org.apache.kafka.clients.admin.DescribeProducersResult::partitionResult(TopicPartition):KafkaFuture<PartitionProducerState>	org.apache.kafka.common.TopicPartition	0.5952380952380953
Move Method	org.apache.kafka.clients.consumer.KafkaShareConsumerMetricsTest::initMetadata(MockClient, Map<String,Integer>):void	org.apache.kafka.clients.MockClient	0.6477233936911355
