Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.springframework.web.service.invoker.HttpServiceMethodTests::typeAndMethodAnnotatedService():void	org.springframework.web.service.invoker.TestExchangeAdapter	0.4240358643457383
Move Method	org.springframework.http.client.ReactorNettyClientRequest::send(HttpHeaders, Body, HttpClientRequest, NettyOutbound):Publisher<Void>	org.springframework.http.HttpHeaders	0.8724511300050857
Move Method	org.springframework.http.client.reactive.ReactorClientHttpConnector::adaptRequest(HttpMethod, URI, HttpClientRequest, NettyOutbound):ReactorClientHttpRequest	org.springframework.http.HttpMethod	0.5111111111111112
Move Method	org.springframework.web.client.RestTemplateTests::mockSentRequest(HttpMethod, String, HttpHeaders):void	org.springframework.http.client.ClientHttpRequestFactory	1.0
Move Method	org.springframework.web.client.RestTemplate::handleResponse(URI, HttpMethod, ClientHttpResponse):void	org.springframework.web.client.ResponseExtractor	0.5925925925925926
Move Method	org.springframework.web.method.ControllerAdviceBeanTests::assertEqualsHashCodeAndToString(ControllerAdviceBean, ControllerAdviceBean, String):void	org.springframework.web.method.ControllerAdviceBean	0.32648710766357825
Move Method	org.springframework.http.converter.ResourceHttpMessageConverter::writeContent(Resource, HttpOutputMessage):void	org.springframework.http.HttpOutputMessage	1.0
Move Method	org.springframework.web.testfixture.http.server.reactive.MockServerHttpRequest.DefaultBodyBuilder::getCharset():Charset	org.springframework.http.HttpHeaders	0.42142857142857104
Move Method	org.springframework.web.bind.support.WebExchangeDataBinderTests::exchange(MultiValueMap<String,String>):ServerWebExchange	org.springframework.web.bind.support.WebExchangeDataBinder	0.5018939393939393
Move Method	org.springframework.web.client.DefaultRestClient.DefaultResponseSpec::toEntityInternal(Type, Class<T>):ResponseEntity<T>	org.springframework.http.client.ClientHttpResponse	0.44553913519430766
Move Method	org.springframework.http.client.JdkClientHttpRequestFactoryTests::contentLength0():void	org.springframework.http.client.ClientHttpRequestFactory	1.0
Move Method	org.springframework.web.client.RestClientObservationTests::mockSentRequest(HttpMethod, String, HttpHeaders):void	org.springframework.http.client.ClientHttpRequestFactory	1.0
