Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.derby.impl.sql.compile.SQLParser::getCreateAliasNode(Object, Object, Object, char, Boolean):StatementNode	org.apache.derby.iapi.sql.compile.NodeFactory	0.8055555555555558
Move Method	org.apache.derby.impl.sql.compile.BinaryRelationalOperatorNode::newBool(boolean):ValueNode	org.apache.derby.impl.sql.compile.InListOperatorNode	0.445956033649475
Move Method	org.apache.derby.impl.sql.compile.SetOperatorNode::setParamColumnTypes(DataTypeDescriptor[], RowResultSetNode):void	org.apache.derby.impl.sql.compile.ValueNode	0.7163196315473872
Move Method	org.apache.derby.impl.sql.compile.OrderByColumn::columnMatchFound(ResultSetNode, ColumnReference):boolean	org.apache.derby.impl.sql.compile.ResultColumn	0.8447991754934757
Move Method	org.apache.derbyTesting.junit.TestConfiguration::defaultSecurityManagerSetup():boolean	org.apache.derbyTesting.junit.JDBCClient	1.0
Move Method	org.apache.derby.iapi.sql.dictionary.DataDescriptorGenerator::newRoutinePermsDescriptor(AliasDescriptor, String):RoutinePermsDescriptor	org.apache.derby.iapi.sql.dictionary.AliasDescriptor	0.6517656280619244
Move Method	org.apache.derby.impl.sql.compile.LikeEscapeOperatorNode::finishBindExpr():void	org.apache.derby.impl.sql.compile.ValueNode	0.7768742913832201
Move Method	org.apache.derby.impl.store.access.btree.BTreePostCommit::getShrinkKey(OpenBTree, ControlRow, int):DataValueDescriptor[]	org.apache.derby.impl.store.access.btree.ControlRow	1.0
Move Method	org.apache.derby.impl.sql.compile.PredicateList::generateSingleQualifierCode(MethodBuilder, Optimizable, boolean, ExpressionClassBuilder, RelationalOperator, LocalField, int, int):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0.6021445695226182
Move Method	org.apache.derby.impl.sql.catalog.SequenceUpdater::tooMuchContentionException():StandardException	org.apache.derby.impl.sql.catalog.SequenceGenerator	0.7857142857142858
Move Method	org.apache.derby.impl.sql.catalog.DataDictionaryImpl::genColumnReferenceSQL(TableDescriptor, String, String, boolean, int):String	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0.5167136615102716
Move Method	org.apache.derby.impl.store.raw.data.BaseContainer::getDeallocLock(BaseContainerHandle, RecordHandle, boolean, boolean):boolean	org.apache.derby.impl.store.raw.data.BaseContainerHandle	1.0
Move Method	org.apache.derby.impl.drda.DRDAConnThread::isAuthenticationException(SQLException):boolean	org.apache.derby.impl.drda.Database	0.15461942754330563
Move Method	org.apache.derby.impl.store.raw.data.BasePage::copyInto(BasePage, int, int, int):void	org.apache.derby.impl.store.raw.data.BaseContainerHandle	0.6119779067892276
Move Method	org.apache.derby.impl.sql.compile.InsertNode::enhanceAndCheckForAutoincrement(ResultSetNode, boolean, int[]):ResultSetNode	org.apache.derby.impl.sql.compile.ResultSetNode	0.7748272095127511
Move Method	org.apache.derby.impl.sql.compile.DDLStatementNode::checkTableDescriptor(TableDescriptor, boolean):TableDescriptor	org.apache.derby.iapi.sql.dictionary.TableDescriptor	0.5281677781677783
Move Method	org.apache.derby.impl.sql.compile.FromBaseTable::generateRefActionDependentTableScan(ExpressionClassBuilder, MethodBuilder):void	org.apache.derby.impl.sql.compile.ExpressionClassBuilder	0.8070234869015355
Move Method	org.apache.derby.impl.sql.compile.SQLParser::getNumericNode(String, boolean):NumericConstantNode	org.apache.derby.iapi.sql.compile.NodeFactory	1.0
Move Method	org.apache.derby.impl.tools.ij.mtTestCase::runMe(LocalizedOutput, LocalizedOutput, BufferedInputStream):void	org.apache.derby.iapi.tools.i18n.LocalizedOutput	0.6720430107526881
Move Method	org.apache.derby.impl.sql.compile.DMLModStatementNode::parseGenerationClause(String, TableDescriptor):ValueNode	org.apache.derby.impl.sql.compile.ResultColumnList	0.7955831231541065
Move Method	org.apache.derby.impl.store.access.btree.BTreePostCommit::doShrink(OpenBTree, DataValueDescriptor[]):void	org.apache.derby.impl.store.access.btree.OpenBTree	0.7073927710843373
Move Method	org.apache.derby.impl.store.access.conglomerate.GenericScanController::positionAtNextPage(RowPosition):void	org.apache.derby.impl.store.access.conglomerate.RowPosition	0.7224080267558528
Move Method	org.apache.derby.client.am.Lob::checkForClosedConnection():void	org.apache.derby.client.am.Agent	0.5877551020408165
Move Method	org.apache.derby.client.am.Connection::setSavepointX(Savepoint):Savepoint	org.apache.derby.client.am.CallableLocatorProcedures	1.0
Move Method	org.apache.derbyDemo.scores.data.Data.KeyedObject::create(Database):void	org.apache.derbyDemo.scores.data.Database	1.0
Move Method	org.apache.derby.impl.sql.catalog.TabInfoImpl::getIndexRowFromHeapRow(IndexRowGenerator, RowLocation, ExecRow):ExecIndexRow	org.apache.derby.iapi.sql.dictionary.IndexRowGenerator	0.3753380364491476
Move Method	org.apache.derby.impl.sql.compile.FromVTI::canBePushedDown(Predicate):boolean	org.apache.derby.impl.sql.compile.Predicate	0.8537151373216945
Move Method	org.apache.derby.impl.sql.compile.DB2LengthOperatorNode::getConstantLength():int	org.apache.derby.impl.sql.compile.ValueNode	0.7768742913832201
Move Method	org.apache.derby.impl.sql.compile.UpdateNode::forbidGenerationOverrides(ResultColumnList, ColumnDescriptorList):void	org.apache.derby.impl.sql.compile.ResultSetNode	0.8001960522277861
Move Method	org.apache.derby.iapi.sql.dictionary.TupleDescriptor::buildDescriptor2(ExecRow, SYSSTATEMENTSRowFactory, DataDictionary):TupleDescriptor	org.apache.derby.impl.sql.catalog.SYSSTATEMENTSRowFactory	0.6803634678182365
