Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.lucene.search.TestDocTermOrdsRangeFilter::assertSame(BytesRef, BytesRef, boolean, boolean):void	org.apache.lucene.search.IndexSearcher	0.6080106095148545
Move Method	org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter::openIndexWriter(Directory, IndexWriterConfig):IndexWriter	org.apache.lucene.index.IndexWriter	0.5071402636579104
Move Method	org.apache.lucene.index.TestLazyProxSkipping::performTest(int):void	org.apache.lucene.search.IndexSearcher	0.34444189680534215
Move Method	org.apache.lucene.search.Query::createWeight(IndexSearcher):Weight	org.apache.lucene.search.IndexSearcher	0.5186817151102864
Move Method	org.apache.lucene.util.LuceneTestCase::isTestThread():boolean	org.apache.lucene.util.TestRuleThreadAndTestName	0.40178571428571425
Move Method	org.apache.lucene.facet.search.TestMultipleCategoryLists::assertOrdinalsExist(String, IndexReader):void	org.apache.lucene.index.IndexReader	0.4464285714285715
Move Method	org.apache.lucene.search.spell.SpellChecker::createSearcher(Directory):IndexSearcher	org.apache.lucene.store.Directory	0.3952380952380954
Move Method	org.apache.lucene.benchmark.byTask.tasks.AnalyzerFactoryTask::lookupAnalysisClassextends T> (String, Class<T>):Class<?	org.apache.lucene.analysis.util.TokenizerFactory	0.55
Move Method	org.apache.lucene.index.DocumentsWriterFlushControl::getNumGlobalTermDeletes():int	org.apache.lucene.index.DocumentsWriter	1.0
Move Method	org.apache.lucene.index.TestDocsAndPositions::getDocsAndPositions(AtomicReader, BytesRef, Bits):DocsAndPositionsEnum	org.apache.lucene.index.AtomicReader	0.8957976248775711
Move Method	org.apache.lucene.facet.taxonomy.directory.TestDirectoryTaxonomyWriter::getEpoch(Directory):long	org.apache.lucene.store.Directory	0.4426666666666668
Move Method	org.apache.lucene.index.TestSnapshotDeletionPolicy::prepareIndexAndSnapshots(SnapshotDeletionPolicy, IndexWriter, int, String):void	org.apache.lucene.index.IndexWriter	0.6854152238465959
Move Method	org.apache.lucene.search.grouping.GroupingSearchTest::createRandomGroupingSearch(String, Sort, int, boolean):GroupingSearch	org.apache.lucene.search.Sort	0.8543047729532645
Move Method	org.apache.lucene.codecs.simpletext.SimpleTextTermVectorsReader::readString(int, BytesRef):String	org.apache.lucene.util.BytesRef	0.7109059434506636
Move Method	org.apache.lucene.search.SloppyPhraseScorer::termGroups(LinkedHashMap<Term,Integer>, ArrayList<OpenBitSet>):HashMap<Term,Integer>	org.apache.lucene.search.PhrasePositions	0.34313725490196073
Move Method	org.apache.lucene.index.IndexWriter::ramSizeInBytes():long	org.apache.lucene.index.DocumentsWriter	1.0
Move Method	org.apache.lucene.codecs.simpletext.SimpleTextLiveDocsFormat::parseIntAt(BytesRef, int, CharsRef):int	org.apache.lucene.util.BytesRef	0.6403552047360632
Move Method	org.apache.lucene.benchmark.quality.utils.DocNameExtractor::docName(IndexSearcher, int):String	org.apache.lucene.search.IndexSearcher	0.27625919054490483
Move Method	org.apache.lucene.index.TestDirectoryReaderReopen::refreshReader(DirectoryReader, TestReopen, int, boolean):ReaderCouple	org.apache.lucene.index.DirectoryReader	0.7212806026365348
Move Method	org.apache.lucene.search.vectorhighlight.FieldQuery::checkOverlap(Collection<Query>, PhraseQuery, PhraseQuery):void	org.apache.lucene.search.PhraseQuery	0.44241112422930606
Move Method	org.apache.lucene.codecs.BlockTreeTermsReader.IntersectEnum::copyTerm():void	org.apache.lucene.util.BytesRef	0.6765873015873016
Move Method	org.apache.lucene.facet.search.TestStandardFacetsAccumulator::indexTwoDocs(IndexWriter, FacetFields, boolean):void	org.apache.lucene.index.IndexWriter	0.4245996666295307
Move Method	org.apache.lucene.search.TestMultiThreadTermVectors.MultiThreadTermVectorsReader::verifyVectors(Fields, int):void	org.apache.lucene.index.Fields	1.0
Move Method	org.apache.lucene.facet.search.TestDrillSideways::add(String[]):void	org.apache.lucene.facet.index.FacetFields	0.7363858363858363
Move Method	org.apache.lucene.facet.search.FacetRequest::createAggregator(boolean, FacetArrays, TaxonomyReader):Aggregator	org.apache.lucene.facet.taxonomy.TaxonomyReader	0.8330871491875925
Move Method	org.apache.lucene.search.grouping.GroupingSearchTest::addGroupField(Document, String, String, boolean):void	org.apache.lucene.document.Document	0.4833333333333334
Move Method	org.apache.lucene.facet.search.FacetsAccumulator::getCategoryLists():Set<CategoryListParams>	org.apache.lucene.facet.params.FacetSearchParams	1.0
Move Method	org.apache.lucene.index.BinaryDocValuesWriter::addValue(int, BytesRef):void	org.apache.lucene.index.FieldInfo	1.0
Move Method	org.apache.lucene.queries.ChainedFilter::getDISI(Filter, AtomicReaderContext):DocIdSetIterator	org.apache.lucene.search.Filter	1.0
Move Method	org.apache.lucene.search.grouping.AllGroupsCollectorTest::addGroupField(Document, String, String, boolean):void	org.apache.lucene.document.Document	0.4833333333333334
Move Method	org.apache.lucene.search.spell.SpellChecker::indexDictionary(Dictionary, IndexWriterConfig, boolean):void	org.apache.lucene.search.spell.Dictionary	0.4
Move Method	org.apache.lucene.analysis.stempel.StempelStemmer::stem(CharSequence):StringBuilder	org.egothor.stemmer.Trie	0.9915966386554624
Move Method	org.apache.lucene.benchmark.quality.QualityBenchmark::analyzeQueryResults(QualityQuery, Query, TopDocs, Judge, PrintWriter, long):QualityStats	org.apache.lucene.benchmark.quality.QualityQueryParser	0.7333333333333333
Move Method	org.apache.lucene.search.spans.TestSpans::checkHits(Query, int[]):void	org.apache.lucene.search.Query	0.4803571428571428
Move Method	org.apache.lucene.search.join.TestJoinUtil::createExpectedResult(String, boolean, IndexReader, IndexIterationContext):FixedBitSet	org.apache.lucene.index.IndexReader	0.4192675821889305
Move Method	org.apache.lucene.index.TestBackwardsCompatibility3x::addDoc(IndexWriter, int):void	org.apache.lucene.index.IndexWriter	0.3558934716041593
Move Method	org.apache.lucene.index.TestLazyProxSkipping::search():ScoreDoc[]	org.apache.lucene.search.IndexSearcher	0.47160532608009265
Move Method	org.apache.lucene.analysis.util.AbstractAnalysisFactory::getLines(ResourceLoader, String):List<String>	org.apache.lucene.analysis.util.ResourceLoader	0.2
Move Method	org.apache.lucene.facet.sampling.Sampler::getSampleFixer(IndexReader, TaxonomyReader, FacetSearchParams):SampleFixer	org.apache.lucene.facet.taxonomy.TaxonomyReader	0.2258503401360544
Move Method	org.apache.lucene.index.TestParallelTermEnum::checkTerms(Terms, Bits, String[]):void	org.apache.lucene.index.AtomicReader	0.37449201839826823
Move Method	org.apache.lucene.spatial.StrategyTestCase::checkValueSource(ValueSource, float[], float):void	org.apache.lucene.search.IndexSearcher	0.4500251662119421
Move Method	org.apache.lucene.benchmark.byTask.feeds.TrecContentSource::read(StringBuilder, String, boolean, boolean):void	org.apache.lucene.benchmark.byTask.feeds.HTMLParser	0.8333333333333333
Move Method	org.apache.lucene.search.FieldCacheImpl.Uninvert::uninvert(AtomicReader, String, boolean):void	org.apache.lucene.index.AtomicReader	0.7685786435786436
Move Method	org.apache.lucene.index.NormsConsumerPerField::flush(SegmentWriteState, DocValuesConsumer):void	org.apache.lucene.index.SegmentWriteState	0.40656565656565663
Move Method	org.apache.lucene.index.DocumentsWriterFlushQueue::innerPurge(DocumentsWriter):void	org.apache.lucene.index.DocumentsWriter	0.9495597735597737
Move Method	org.apache.lucene.search.highlight.WeightedSpanTermExtractor::extractWeightedSpanTerms(Map<String,WeightedSpanTerm>, SpanQuery):void	org.apache.lucene.search.spans.SpanQuery	0.817850704536257
Move Method	org.apache.lucene.search.highlight.custom.HighlightCustomQueryTest::highlightField(Query, String, String):String	org.apache.lucene.search.Query	0.3543040293040293
Move Method	org.apache.lucene.index.IndexWriter::deleteDocuments(Query):void	org.apache.lucene.index.MergeScheduler	1.0
Move Method	org.apache.lucene.spatial.SpatialExample::assertDocMatchedIds(IndexSearcher, TopDocs, int[]):void	org.apache.lucene.search.IndexSearcher	0.44829827910185055
Move Method	org.apache.lucene.search.TestMultiThreadTermVectors.MultiThreadTermVectorsReader::verifyVector(TermsEnum, int):void	org.apache.lucene.index.TermsEnum	0.662551440329218
Move Method	org.apache.lucene.search.join.TestJoinUtil::createContext(int, RandomIndexWriter, boolean, boolean):IndexIterationContext	org.apache.lucene.index.RandomIndexWriter	0.9752136752136754
Move Method	org.apache.lucene.search.grouping.DistinctValuesCollectorTest::addField(Document, String, String, DocValuesType):void	org.apache.lucene.document.Document	0.5277777777777778
Move Method	org.apache.lucene.search.TestBooleanOr::search(Query):int	org.apache.lucene.search.Query	0.38523513340696386
Move Method	org.apache.lucene.index.TestDeletionPolicy::addDoc(IndexWriter):void	org.apache.lucene.index.IndexWriter	0.6110287300801954
Move Method	org.apache.lucene.util.fst.TestFSTs::assertSame(TermsEnum, BytesRefFSTEnum<?>, boolean):void	org.apache.lucene.util.fst.BytesRefFSTEnum	1.0
Move Method	org.apache.lucene.search.TestTimeLimitingCollector::add(String, RandomIndexWriter):void	org.apache.lucene.index.RandomIndexWriter	0.5852927506140672
Move Method	org.apache.lucene.search.highlight.HighlighterTest.TestHighlightRunner::getHighlighter(Query, String, Formatter, boolean):Highlighter	org.apache.lucene.search.Query	0.7150395778364116
Move Method	org.apache.lucene.index.SortedSetDocValuesWriter::addValue(int, BytesRef):void	org.apache.lucene.index.FieldInfo	0.9940476190476194
Move Method	org.apache.lucene.index.TestSegmentTermEnum::addDoc(IndexWriter, String):void	org.apache.lucene.index.IndexWriter	0.6110287300801954
Move Method	org.apache.lucene.search.TestRegexpRandom2::assertSame(String):void	org.apache.lucene.search.IndexSearcher	0.32531133462810485
Move Method	org.apache.lucene.search.spell.TestSpellChecker::addwords(IndexReader, SpellChecker, String):void	org.apache.lucene.search.spell.SpellChecker	0.4111529020210234
Move Method	org.apache.lucene.analysis.morfologik.MorfologikFilter::toLowercase(CharSequence):CharSequence	org.apache.lucene.util.CharsRef	0.9619047619047623
Move Method	org.apache.lucene.codecs.lucene41.ForUtil::writeBlock(int[], byte[], IndexOutput):void	org.apache.lucene.store.IndexOutput	0.5681818181818182
Move Method	org.apache.lucene.index.DocumentsWriterFlushControl::getDeleteBytesUsed():long	org.apache.lucene.index.DocumentsWriter	1.0
Move Method	org.apache.lucene.codecs.TermStats::finishTerm2(Lucene41PostingsWriter):void	org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter	1.0
Move Method	org.apache.lucene.index.TestDeletionPolicy::addDocWithID(IndexWriter, int):void	org.apache.lucene.index.IndexWriter	0.6110287300801954
Move Method	org.apache.lucene.codecs.BlockTreeTermsWriter.PendingBlock::append(Builder<BytesRef>, FST<BytesRef>):void	org.apache.lucene.util.BytesRef	0.35928445452254976
Move Method	org.apache.lucene.index.TestAddIndexes::addDocs2(IndexWriter, int):void	org.apache.lucene.index.IndexWriter	0.6110287300801954
Move Method	org.apache.lucene.codecs.compressing.CompressingTermVectorsReader::readPositions(int, int, PackedInts.Reader, PackedInts.Reader, int[], int, int, int[][]):int[][]	org.apache.lucene.util.packed.BlockPackedReaderIterator	1.0
